"time","first_hit","first","second_hit","second","third","fourth","over"
829,1,136213400,1,122590900,615500,11100,0
828,1,293783400,22,6495800,413200,8500,0
827,0,0,7,17356200,607400,9300,134993898
826,3,45122000,12,10152300,523900,8500,0
825,4,73795200,14,10242600,376500,7900,0
824,0,0,5,24452600,768100,13400,135848970
823,2,66918700,5,24090500,549500,8100,0
822,5,24735100,12,9275600,151900,5200,0
821,1,141089200,6,21163100,765700,11600,0
820,1,137493800,4,30935800,687400,11700,0
819,2,150045900,4,36110300,753600,11100,0
818,0,0,7,17948400,842200,12700,139600060
817,1,145727200,1,131153300,576400,13000,0
816,2,62452100,10,11241200,412500,7900,0
815,1,127087500,9,12708600,438500,8200,0
814,5,26254400,18,6563500,300300,6700,0
813,3,98109100,7,19632500,402200,7900,0
812,0,0,4,31866100,679800,11600,141628660
811,1,140999500,8,15862300,637100,10700,0
810,4,36263600,5,26109600,1037400,18100,0
809,3,107746800,5,31854300,672900,12600,0
808,0,0,8,16455200,698900,12800,146270097
807,1,291477000,14,9812700,344100,7000,0
806,0,0,1,124949100,578900,10900,138833615
805,1,140183100,8,15770400,669800,10300,0
804,2,150886900,3,45840500,793300,11700,0
803,0,0,4,33518100,812500,15100,148970728
802,1,128449300,6,19267200,429400,8000,0
801,1,145320600,4,32696800,610600,10200,0
800,1,131166300,4,29512100,442600,7600,0
799,7,58921400,24,6149400,211000,5100,0
798,0,0,0,0,539000,10300,248463449
797,2,68765900,12,10314800,506900,8400,0
796,1,121870200,7,15668800,403700,7300,0
795,7,73305200,10,17505800,441300,9400,0
794,0,0,5,31753300,747100,12500,318626275
793,0,0,2,63997200,645300,11300,142217329
792,2,70622000,10,12711800,463600,9700,0
791,1,149634700,5,26934000,800000,12600,0
790,3,102876700,12,12227300,375400,8600,0
789,0,0,7,18719500,686600,12600,145597887
788,2,65271100,17,6910900,380000,7400,0
787,1,130770500,4,29423100,475500,9300,0
786,3,97530200,17,8082500,431600,9000,0
785,0,0,11,11447700,640200,10600,139918477
784,1,142822100,7,18362600,471700,11700,0
783,1,140608100,5,25309200,663100,10300,0
782,3,48647800,5,26269500,757700,13000,0
781,1,147350400,4,33153500,736700,12100,0
780,1,134329400,12,10074600,431700,8100,0
779,2,72998900,3,43799000,565100,10200,0
778,4,32229100,20,5801200,323000,7500,0
777,1,146823800,4,33035000,483400,9000,0
776,3,45776400,7,17656400,310200,6800,0
775,6,56139200,18,9455800,476000,9900,0
774,0,0,10,13294400,450600,7600,147716863
773,3,168064100,25,6653600,287200,5600,0
772,0,0,11,13398900,424100,7500,319366210
771,0,0,4,35009600,889100,13500,155599643
770,1,154692500,6,23203600,645000,11200,0
769,2,71650300,12,10747400,537300,10000,0
768,3,166626300,12,14584100,460500,9700,0
767,0,0,18,8132500,385200,7300,305421962
766,0,0,7,18355800,575300,9600,142769195
765,1,143790100,5,25882000,522800,9000,0
764,1,152476300,11,12475200,751900,12700,0
763,4,36232500,8,16304500,559000,9200,0
762,2,66848900,9,13369600,327400,7100,0
761,3,45384700,4,30634400,310800,6300,0
760,2,76066200,6,22819600,912700,12800,0
759,1,150508300,9,15050700,442900,9000,0
758,3,48205400,6,21692200,624700,10800,0
757,1,158786500,8,17863300,567800,10000,0
756,1,135304800,5,24354600,402500,7600,0
755,1,357433900,4,44806100,739000,12600,0
754,0,0,7,20351800,522800,10100,158293668
753,1,153360100,8,17252800,437000,7200,0
752,1,148264300,17,7849200,359000,6800,0
751,2,170811100,6,28915500,581500,10300,0
750,0,0,16,8372700,597600,8700,148850413
749,1,147338200,6,22100500,474900,7800,0
748,3,54555200,8,18412200,386700,7900,0
747,5,35339700,9,17669700,477000,9200,0
746,2,89450700,6,26834900,644000,10900,0
745,2,81805900,14,10517800,327200,6400,0
744,2,85021400,9,17004100,538500,9600,0
743,1,166674600,8,18750700,490400,8100,0
742,5,34263800,10,15418600,466000,7800,0
741,3,62963200,12,14166600,365500,9800,0
740,8,22908400,16,10308700,412300,8400,0
739,1,189795600,5,34162900,508600,9600,0
738,3,63074300,10,17029900,451100,9300,0
737,5,35534000,12,13325100,336600,7300,0
736,1,195249400,7,25103200,750400,12100,0
735,1,191947900,10,17275100,607900,11000,0
734,2,90878300,8,20447400,654300,9800,0
733,6,31134100,20,8406100,257000,7400,0
732,2,105133100,6,31539600,368000,12000,0
731,2,98599200,6,29579500,488400,9300,0
730,3,66314100,6,29841100,563900,10400,0
729,2,98685000,17,10448900,509900,10200,0
728,3,63530800,10,17153100,384700,7900,0
727,3,143332300,19,11529200,536400,8900,0
726,0,0,7,23991100,727500,11400,186599329
725,1,380475100,8,28271700,632600,11200,0
724,1,400000000,11,26093600,765400,12400,129168839
723,0,0,16,11826100,571900,9700,210243965
722,2,374402800,20,13709900,712200,12000,0
721,0,0,12,18688100,749600,11700,444138139
720,0,0,2,87731700,708900,12400,194961175
719,5,84563100,15,14115500,514300,10100,0
718,0,0,5,33759500,718200,12100,187554507
717,3,63669600,5,34381300,855900,12700,0
716,2,86824800,10,15628300,389000,7700,0
715,4,43239100,14,11118500,246400,6500,0
714,2,91019900,17,9637300,543000,9800,0
713,8,25401100,8,22860800,623400,13000,0
712,4,141654300,17,12869400,335700,7000,0
711,1,400000000,17,15549400,505100,9300,323524855
710,0,0,6,35796100,704100,11200,429810925
709,0,0,7,24578400,692800,11900,191167589
708,1,184591000,7,23732900,509800,9500,0
707,2,95335600,13,13200200,431700,9300,0
706,4,111096500,13,17094700,582200,11500,0
705,0,0,4,44427900,715600,13200,197459384
704,1,177385500,7,22806500,642800,9200,0
703,1,245034100,8,23496700,661400,11300,0
702,1,400000000,11,19778400,664300,11300,36172490
701,0,0,3,58329700,976600,15500,194434345
700,3,54372900,14,10486100,421400,8600,0
699,1,178163800,6,26724300,542000,9200,0
698,2,93065900,2,83758600,550700,10900,0
697,1,188870600,11,15452900,660100,11500,0
696,1,182624000,12,13696600,655200,11200,0
695,5,33044600,20,7434900,271100,5700,0
694,2,199696300,11,16997900,424900,8200,0
693,0,0,4,43118000,612300,11100,191637654
692,2,90732700,8,20414600,529600,9200,0
691,3,134131500,3,4,57100,338700,8000
690,0,0,10,16397300,583800,9800,182194767
689,8,20094300,34,4255200,230500,5300,0
688,2,92819300,4,41768300,675000,11600,0
687,2,94843400,15,11381100,682800,11500,0
686,2,94737500,7,24360800,723000,12900,0
685,2,87878800,9,17575600,508800,8700,0
684,2,74642000,7,19193400,318600,6400,0
683,1,185848300,8,20907700,456100,10600,0
682,1,393430300,15,12413900,294700,7800,0
681,0,0,11,15261400,751600,11700,186530099
680,1,212106800,9,19465100,600600,10200,0
679,1,400000000,14,15063900,821600,13000,17453239
678,0,0,9,18312100,541800,10600,183123113
677,1,189220100,10,17029600,777000,11800,0
676,3,57166200,18,8574800,564600,10700,0
675,3,62855400,3,56569400,559400,10100,0
674,3,61634400,15,11094000,434100,8500,0
673,2,215521300,19,10945600,412400,7600,0
672,0,0,15,11997800,591600,10500,199965654
671,2,94581700,21,8106900,145100,5500,0
670,2,215544800,22,10256500,654000,10800,0
669,0,0,9,18037100,352900,7200,180372714
668,5,39100200,10,17594900,446300,10100,0
667,2,217956200,8,27917000,678400,13600,0
666,0,0,7,24140100,589400,11300,187758302
665,2,94049700,6,28214600,572200,9800,0
664,3,54823400,22,6728200,211200,5200,0
663,3,65429200,17,10391600,464800,9500,0
662,3,67698400,4,45696000,714400,13500,0
661,2,100065600,7,25730900,708600,11800,0
660,3,115495200,7,30830300,799300,11600,0
659,1,400000000,4,61223200,941800,15100,106692039
658,0,0,8,24882600,640400,12500,234586287
657,1,200000000,5,38412600,893300,15300,13405435
656,6,29744700,36,4461600,221000,5900,0
655,2,91563400,8,20601600,565000,9400,0
654,1,220075400,8,23525700,508600,10500,0
653,1,200000000,5,37971600,654600,10700,10955557
652,2,105070900,9,21014000,677400,11300,0
651,2,356844900,13,21235700,694500,11800,0
650,1,400000000,10,31073900,941600,14800,406949113
649,0,0,25,9210600,543900,9400,461680353
648,0,0,2,92621600,1084300,16300,205827665
647,1,193138200,18,9656800,391300,8500,0
646,2,91242400,19,8643900,423800,7400,0
645,2,99339200,2,89404500,599300,10400,0
644,3,145189300,12,17410000,455800,8400,0
643,0,0,13,14083600,923100,12300,203432373
642,2,217597800,16,13252300,485500,9400,0
641,0,0,12,14969600,695300,10700,199596984
640,4,45794500,13,12681400,357000,7800,0
639,3,73500100,9,22049800,975900,15100,0
638,3,64471000,27,6447000,386100,8700,0
637,7,103124900,26,10158300,346700,7400,0
636,0,0,17,12374900,430800,7300,428409654
635,0,0,14,12513600,611100,9800,194658716
634,2,100888700,19,9557700,511500,9400,0
633,1,195269800,14,12552900,467600,8000,0
632,3,154298100,16,14351800,627600,10500,0
631,0,0,10,18697100,692400,10700,207747957
630,1,223115200,23,8174100,517400,8200,0
629,1,200000000,10,19279400,628600,11900,14218330
628,4,56958800,16,12229200,419200,8200,0
627,1,200000000,8,23672500,590200,10100,10424389
626,1,190646100,11,15598100,402900,7800,0
625,13,16095600,7,26902500,284200,8000,0
624,3,155194100,23,9982000,292100,7200,0
623,0,0,7,27061800,601300,10000,210483046
622,5,38782000,10,17451700,386300,8000,0
621,1,327545100,12,18167400,360800,8300,0
620,1,400000000,14,18033500,427300,9700,85310686
619,0,0,12,15358800,706600,10200,204786165
618,2,115085500,5,41430400,799300,14000,0
617,1,217255800,19,9950800,393800,7900,0
616,1,200000000,9,20717700,419000,8600,7179695
615,2,97869700,27,6524500,367600,7800,0
614,2,102950100,11,16846200,607500,10400,0
613,7,66079000,11,19949600,222500,8400,0
612,0,0,4,49212100,777000,12600,218722379
611,2,99847700,8,22465500,700200,11000,0
610,7,60543300,15,13645800,366000,7200,0
609,0,0,6,29455200,581000,11000,196369972
608,4,49879600,9,19951600,477700,8400,0
607,3,63061400,27,6306000,280200,7000,0
606,3,70446700,16,11887700,337600,8100,0
605,5,41549700,7,26710300,423300,9300,0
604,2,107591000,20,9683100,589800,10600,0
603,3,226379100,15,17236000,502000,8400,0
602,1,400000000,23,13042600,587200,9200,391868219
601,0,0,13,17540800,714400,10400,458553485
600,0,0,3,61554300,600500,10400,205182997
599,2,216314000,12,17513800,439300,8000,0
598,0,0,9,19910600,511900,9400,199108103
597,3,54331900,14,10478200,414100,7100,0
596,2,103166100,7,26528100,475100,9200,0
595,5,93810400,14,16500400,650700,10500,0
594,0,0,8,23892000,688700,11500,212375624
593,1,197255100,12,14794000,647500,10500,0
592,1,191762100,17,10152000,436000,7900,0
591,2,114611500,18,10223900,543900,9800,0
590,1,200000000,9,22473900,1098200,14800,24741779
589,2,122477600,6,33595100,629900,10600,0
588,1,200000000,6,33147500,732000,11500,20985545
587,2,94929700,10,17087200,370100,8100,0
586,3,160511600,32,7557700,547500,9500,0
585,0,0,4,47882300,1094400,15100,212812345
584,6,74482300,19,11827700,380300,8100,0
583,0,0,3,59157700,747200,12500,197194180
582,4,50665600,21,8685400,371600,7900,0
581,3,66884900,12,14969900,661200,11300,0
580,1,200000000,9,20105100,640500,11000,1053505
579,2,213388800,20,10107600,368600,7500,0
578,0,0,6,30323900,615000,9900,202161370
577,1,231169700,3,64747600,664000,10500,0
576,1,200000000,8,24225700,631900,10700,15342210
575,2,112039700,23,7661600,328800,6400,0
574,1,400000000,13,17276400,670400,11200,28280571
573,0,0,8,20106900,824800,11600,178729671
572,3,71561100,15,12880800,736000,11600,0
571,5,39891900,14,12822300,633500,10700,0
570,2,239144300,8,30826300,632300,10800,0
569,0,0,11,16713100,626700,11100,204274190
568,2,258596800,7,37489300,793200,12700,0
567,0,0,10,19073800,478800,8400,225606974
566,1,200000000,13,14792600,480700,9900,13672968
565,3,63900800,8,21566300,543400,9100,0
564,4,52001000,16,11700100,355400,7800,0
563,2,97738500,9,19547500,796600,11300,0
562,3,67477800,11,16562600,335800,7100,0
561,2,127969000,13,16203300,765900,13100,0
560,1,200000000,12,16641300,577400,11000,21887100
559,1,196540700,7,25269300,472700,9200,0
558,2,120430500,6,36128800,977900,16300,0
557,4,49388600,7,25399600,470900,10000,0
556,3,70910400,23,8324100,344400,7700,0
555,2,104317600,10,18777000,856700,10800,0
554,2,228838200,7,34745600,766000,11800,0
553,0,0,16,10542800,277600,6000,187430365
552,3,71653900,11,17587600,872700,13800,0
551,2,111725000,8,25137900,935300,14000,0
550,2,123179400,7,31674400,717100,12000,0
549,2,103276900,16,11618500,428100,7700,0
548,3,131851000,23,10446800,420300,8400,0
547,1,400000000,21,11836000,605000,10900,128575535
546,0,0,12,18929700,908600,13400,252398526
545,5,43344900,8,24381300,363400,9600,0
544,1,291430300,10,24740800,820100,12400,0
543,1,200000000,6,32479200,823400,12600,16529901
542,2,148400100,19,14058800,454000,8400,0
541,2,147042700,15,17644900,569100,11300,0
540,2,135523300,20,12196900,479000,10100,0
539,3,100041200,25,10804300,449500,8000,0
538,6,47501800,23,11152500,215700,5100,0
537,4,82263100,30,9871400,518000,9400,0
536,3,106394100,19,15119000,480100,8100,0
535,2,158577900,27,10571700,399200,7100,0
534,3,260126800,24,16585800,587500,10500,0
533,0,0,15,20285000,622000,11500,338087603
532,4,84134600,10,30288200,845200,12900,0
531,4,78364400,39,7233500,361600,7600,0
530,2,147676000,5,53162900,670100,11600,0
529,3,113263900,12,25484100,708400,11500,0
528,3,108386000,23,12723400,482300,8500,0
527,12,26477800,21,13617000,350800,7200,0
526,6,50949600,23,11961900,457200,7500,0
525,2,164193200,12,24628700,500900,9000,0
524,3,111882600,17,17769400,605100,10700,0
523,2,254076500,10,35334200,728500,11800,0
522,1,200000000,26,10922600,437400,7300,115546724
521,3,108565700,15,19541600,411800,8500,0
520,2,390605500,13,28448700,560300,9100,0
